i,id
21,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BLACK.KINKY:KINKY\CAT\DOMESTIC\BLACK\NEUTERED\KITTN\04/23/2015\K15-014556\LOBBY\A323187\06/23/2015\06/27/2015\4\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\COUNTY\SANTA_ROSA\95409\95409\1
22,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BLACK.MICHAEL:MICHAEL\CAT\DOMESTIC\BLACK\NEUTERED\KITTN\11/27/2013\K14-007901\CA02\A303329\02/27/2014\41642\2\STRAY\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\*PETALUMA\94952\94952\1
23,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BLACK.RAVEN:RAVEN\CAT\DOMESTIC\BLACK\NEUTERED\KITTN\41643\K14-009588\LOBBY\A308658\41646\41705\2\STRAY\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\COUNTY\95421\95421\1
24,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BLACK.SAMUEL:SAMUEL\CAT\DOMESTIC\BLACK\NEUTERED\KITTN\42068\K15-014272\WESTFARM\A322621\42069\07/17/2015\44\STRAY\COMM_CAT\ADOPTION\WESTFARM\HEALTHY\HEALTHY\COUNTY\SANTA_ROSA\95401\95401\1
25,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BLACK.SYLVESTER:SYLVESTER\CAT\DOMESTIC\BLACK\NEUTERED\KITTN\42281\K15-014875\LOBBY\A324201\42284\07/17/2015\7\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\SANTA_ROSA\95404\95404\1
26,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN
27,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN.AUSTIN:AUSTIN\CAT\DOMESTIC\BROWN\NEUTERED\KITTN\05/13/2014\K14-009348\WESTFARM\A308063\06/17/2014\07/19/2014\32\STRAY\COMM_CAT\ADOPTION\WALKIN\TREATABLE/REHAB\HEALTHY\SANTA_ROSA\*CLOVERDALE\95425\95425\1
28,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN.BUSTER:BUSTER\CAT\DOMESTIC\BROWN\NEUTERED\KITTN\08/15/2010\K16-019201\CA02\A254193\42557\42588\1\STRAY\OVER_THE_COUNTER\RETURN_TO_OWNER\OVER_THE_COUNTER_MCHIP\HEALTHY\HEALTHY\WINDSOR\WINDSOR\95492\95492\1
29,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN.CRACKERJACK:CRACKERJACK\CAT\DOMESTIC\BROWN\NEUTERED\KITTN\41982\K14-011260\LOBBY\A312741\10/15/2014\11/21/2014\37\STRAY\OVER_THE_COUNTER\ADOPTION\WALKIN\TREATABLE/REHAB\HEALTHY\COUNTY\SANTA_ROSA\95404\95404\1
30,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN.DUKE:DUKE\CAT\DOMESTIC\BROWN\NEUTERED\KITTN\43685\K19-034180\LOBBY\A393044\10/18/2019\10/26/2019\8\OWNER_SURRENDER\OVER_THE_COUNTER\TRANSFER\ARF\UNKNOWN\HEALTHY\*CLOVERDALE\OUT_OF_COUNTY\94598\94598\1
31,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN.FREDDIE:FREDDIE\CAT\DOMESTIC\BROWN\NEUTERED\KITTN\07/19/2015\K15-015787\CA03\A326611\42072\10/29/2015\56\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\REFERRAL\TREATABLE/REHAB\HEALTHY\COUNTY\*ROHNERT_PARK\94928\94928\1
32,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN.HARLEY:HARLEY\CAT\DOMESTIC\BROWN\NEUTERED\KITTN\42160\K15-016177\LOBBY\A327799\09/29/2015\42226\9\STRAY\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\SANTA_ROSA\95403\95403\1
33,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN.KINKY:KINKY\CAT\DOMESTIC\BROWN\NEUTERED\KITTN\41771\K15-013220\WESTFARM\A317558\03/18/2015\03/20/2015\2\ADOPTION_RETURN\OVER_THE_COUNTER\ADOPTION\WESTFARM\HEALTHY\HEALTHY\COUNTY\COUNTY\95403\95403\1
34,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN.MINIE:MINIE\CAT\DOMESTIC\BROWN\NEUTERED\KITTN\41855\K14-008972\LOBBY\A307122\05/23/2014\06/21/2014\29\STRAY\OVER_THE_COUNTER\ADOPTION\REFERRAL\TREATABLE/REHAB\HEALTHY\WINDSOR\SANTA_ROSA\95404\95404\1
35,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN.SANDY:SANDY\CAT\DOMESTIC\BROWN\NEUTERED\KITTN\42530\K16-021806\LOBBY\A345916\42533\12/13/2016\7\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\OUT_OF_COUNTY\94533\94533\1
36,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN.TAZ:TAZ\CAT\DOMESTIC\BROWN\NEUTERED\KITTN\08/20/2015\K15-016068\CI01\A327248\09/22/2015\42288\49\STRAY\OVER_THE_COUNTER\ADOPTION\REFERRAL\TREATABLE/REHAB\TREATABLE/MANAGEABLE\SANTA_ROSA\WINDSOR\95492\95492\1
37,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN.TIGER_EYES:TIGER_EYES\CAT\DOMESTIC\BROWN\NEUTERED\KITTN\07/27/2014\K14-010763\LOBBY\A311514\41952\11/26/2014\76\STRAY\COMM_CAT\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\SANTA_ROSA\95405\95405\1
38,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BROWN.TOAST:TOAST\CAT\DOMESTIC\BROWN\NEUTERED\KITTN\04/25/2017\K17-023636\CA03\A353255\05/25/2017\42954\44\STRAY\OVER_THE_COUNTER\ADOPTION\VOLUNTEER\TREATABLE/REHAB\HEALTHY\COUNTY\*CLOVERDALE\95425\95425\1
39,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.GRAY
40,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.GRAY.BLUE:BLUE\CAT\DOMESTIC\GRAY\NEUTERED\KITTN\43013\K17-024475\LOBBY\A355781\07/19/2017\07/27/2017\8\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\WINDSOR\COUNTY\95403\95403\1
41,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.GRAY.GRAYSON:GRAYSON\CAT\DOMESTIC\GRAY\NEUTERED\KITTN\43228\K18-029748\LOBBY\A375828\43229\10/27/2018\52\STRAY\OVER_THE_COUNTER\ADOPTION\WALKIN\TREATABLE/REHAB\HEALTHY\COUNTY\SANTA_ROSA\95403\95403\1
42,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.GRAY.KIPPER:KIPPER\CAT\DOMESTIC\GRAY\NEUTERED\KITTN\43075\K17-024821\LOBBY\A356732\43077\08/29/2017\17\OWNER_SURRENDER\FIELD\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\WINDSOR\95492\95492\1
43,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.GRAY.SMOKEY:SMOKEY\CAT\DOMESTIC\GRAY\NEUTERED\KITTN\43103\K18-027397\LOBBY\A369142\02/24/2018\43195\69\STRAY\BORN_HERE\ADOPTION\WALKIN\TREATABLE/REHAB\HEALTHY\SANTA_ROSA\COUNTY\95403\95403\1
44,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.GRAY.SMOKEY:SMOKEY\CAT\DOMESTIC\GRAY\NEUTERED\KITTN\43103\K18-028297\LOBBY\A369142\05/17/2018\05/22/2018\5\ADOPTION_RETURN\OVER_THE_COUNTER\ADOPTION\RESCUE_GRP\HEALTHY\HEALTHY\COUNTY\SANTA_ROSA\95407\95407\1
45,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.GRAY.TIGGER:TIGGER\CAT\DOMESTIC\GRAY\NEUTERED\KITTN\42591\K16-020709\CS04\A342291\42652\11/15/2016\66\STRAY\OVER_THE_COUNTER\ADOPTION\WALKIN\TREATABLE/REHAB\HEALTHY\SANTA_ROSA\COUNTY\95448\95448\1
46,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.GRAY.VAN:VAN\CAT\DOMESTIC\GRAY\NEUTERED\KITTN\43408\K18-029218\WESTFARM\A374949\07/25/2018\43139\8\STRAY\OVER_THE_COUNTER\ADOPTION\WESTFARM\HEALTHY\HEALTHY\WINDSOR\COUNTY\95409\95409\1
47,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.GRAY.WILL:WILL\CAT\DOMESTIC\GRAY\NEUTERED\KITTN\42223\K15-015327\LOBBY\A325011\42224\09/15/2015\38\STRAY\COMM_CAT\ADOPTION\INTERNET\TREATABLE/REHAB\HEALTHY\COUNTY\SANTA_ROSA\95403\95403\1
48,ANIMAL.CAT.NEUTERED.DOMESTIC.LARGE
49,ANIMAL.CAT.NEUTERED.DOMESTIC.LARGE.BROWN
50,ANIMAL.CAT.NEUTERED.DOMESTIC.LARGE.BROWN.CORAZON:CORAZON\CAT\DOMESTIC\BROWN\NEUTERED\LARGE\41791\K14-012254\CS04\A315366\12/30/2014\42186\8\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\AD_NWSPAPR\HEALTHY\HEALTHY\SANTA_ROSA\SANTA_ROSA\95409\95409\1
51,ANIMAL.CAT.NEUTERED.DOMESTIC.MED
52,ANIMAL.CAT.NEUTERED.DOMESTIC.MED.BLACK
53,ANIMAL.CAT.NEUTERED.DOMESTIC.MED.BLACK.MARCO:MARCO\CAT\DOMESTIC\BLACK\NEUTERED\MED\39484\K15-014265\CS04\A322609\42041\07/14/2015\42\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\SANTA_ROSA\95403\95403\1
54,ANIMAL.CAT.NEUTERED.DOMESTIC.MED.BLACK.MARCO:MARCO\CAT\DOMESTIC\BLACK\NEUTERED\MED\39484\K15-015079\CI01\A322609\07/24/2015\08/15/2015\22\ADOPTION_RETURN\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\COUNTY\95404\95404\1
55,ANIMAL.CAT.NEUTERED.DOMESTIC.MED.BROWN
56,ANIMAL.CAT.NEUTERED.DOMESTIC.MED.BROWN.CHEEKS:CHEEKS\CAT\DOMESTIC\BROWN\NEUTERED\MED\41645\K15-016839\CA02\A329743\11/18/2015\42016\13\STRAY\OVER_THE_COUNTER\RETURN_TO_OWNER\OVER_THE_COUNTER_MCHIP\HEALTHY\HEALTHY\WINDSOR\COUNTY\95403\95403\1
57,ANIMAL.CAT.NEUTERED.DOMESTIC.MED.GRAY
58,ANIMAL.CAT.NEUTERED.DOMESTIC.MED.GRAY.ALEJANDRO:ALEJANDRO\CAT\DOMESTIC\GRAY\NEUTERED\MED\03/15/2014\K15-012353\CS04\A315594\42217\01/16/2015\8\STRAY\FIELD\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\*ROHNERT_PARK\94928\94928\1
59,ANIMAL.CAT.NEUTERED.DOMESTIC.MED.GRAY.BEACH_BOY:BEACH_BOY\CAT\DOMESTIC\GRAY\NEUTERED\MED\12/18/2009\K18-027141\CA02\A285810\43102\02/15/2018\14\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WALKIN\TREATABLE/MANAGEABLE\TREATABLE/MANAGEABLE\SANTA_ROSA\*CLOVERDALE\95425\95425\1
60,ANIMAL.CAT.NEUTERED.DOMESTIC.MED.GRAY.PRECIOUS:PRECIOUS\CAT\DOMESTIC\GRAY\NEUTERED\MED\04/28/1992\K15-013693\SMM\A295445\04/25/2015\04/28/2015\3\STRAY\OVER_THE_COUNTER\RETURN_TO_OWNER\OVER_THE_COUNTER_WALKIN\TREATABLE/MANAGEABLE\HEALTHY\COUNTY\COUNTY\95436\95436\1
61,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL
62,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK
63,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.ARIES:ARIES\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\05/18/2006\K16-018916\CS04\A337400\05/18/2016\06/28/2016\41\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\INTERNET\HEALTHY\HEALTHY\SANTA_ROSA\COUNTY\95403\95403\1
64,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.BAGHEERA:BAGHEERA\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\42891\K18-030379\CA02\A378487\10/23/2018\11/15/2018\23\STRAY\OVER_THE_COUNTER\ADOPTION\WALKIN\TREATABLE/REHAB\HEALTHY\SANTA_ROSA\COUNTY\95401\95401\1
65,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.BAGHEERA:BAGHEERA\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\42891\K18-030680\CA02\A378487\11/20/2018\11/24/2018\4\ADOPTION_RETURN\OVER_THE_COUNTER\ADOPTION\SCAS_WEB\UNKNOWN\HEALTHY\SANTA_ROSA\COUNTY\95446\95446\1
66,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.BLACKIE:BLACKIE\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\07/20/2015\K18-030591\CA02\A378305\43384\11/21/2018\11\ADOPTION_RETURN\OVER_THE_COUNTER\TRANSFER\NOAHS_BARK\HEALTHY\HEALTHY\COUNTY\*ROHNERT_PARK\94928\94928\1
67,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.BOO:BOO\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\40524\K17-026569\VET\A365317\42867\43221\31\STRAY\OVER_THE_COUNTER\ADOPTION\FINDER\UNKNOWN\TREATABLE/REHAB\COUNTY\SANTA_ROSA\95409\95409\1
68,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.BRUCE_ALMIGHTY:BRUCE_ALMIGHTY\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\05/15/2017\K17-025087\WESTFARM\A360467\08/30/2017\43078\13\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WESTFARM\HEALTHY\HEALTHY\SANTA_ROSA\SANTA_ROSA\95401\95401\1
69,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.FELIX:FELIX\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\07/31/1997\K14-010063\TX\A309589\07/31/2014\41647\1\TRANSFER\VET_HOSP\RETURN_TO_OWNER\OVER_THE_COUNTER_MCHIP\TREATABLE/MANAGEABLE\TREATABLE/MANAGEABLE\COUNTY\COUNTY\95465\95465\1
70,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.GEORGE:GEORGE\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\04/25/2014\K14-009506\TX\A308369\06/26/2014\41705\7\STRAY\FIELD\RETURN_TO_OWNER\OVER_THE_COUNTER_WALKIN\HEALTHY\HEALTHY\COUNTY\COUNTY\95403\95403\1
71,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.JAX:JAX\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\42411\K19-034378\CS04\A393445\43507\43596\3\STRAY\OVER_THE_COUNTER\RETURN_TO_OWNER\OVER_THE_COUNTER_WEB\UNKNOWN\HEALTHY\SANTA_ROSA\*ROHNERT_PARK\94928\94928\1
72,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.MAGIC:MAGIC\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\40917\K14-011330\COOLER\A312861\10/17/2014\10/21/2014\4\STRAY\FIELD\DISPOSAL\DOA\UNTREATABLE\DEAD\SANTA_ROSA\SANTA_ROSA\95401\95401\1
73,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.MAX:MAX\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\04/30/2015\K16-018676\WESTFARM\A336500\04/30/2016\05/17/2016\17\STRAY\OVER_THE_COUNTER\ADOPTION\WESTFARM\HEALTHY\HEALTHY\COUNTY\WINDSOR\95492\95492\1
74,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.MOONPIE:MOONPIE\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\12/27/2015\K17-024135\CA02\A354491\06/27/2017\07/22/2017\25\STRAY\VET_HOSP\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\SANTA_ROSA\95401\95401\1
75,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.PRINCE:PRINCE\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\02/13/2015\K18-027275\CA02\A368110\02/13/2018\02/16/2018\3\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WALKIN\TREATABLE/REHAB\TREATABLE/REHAB\COUNTY\*HEALDSBURG\95448\95448\1
76,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BLACK.PRINCE:PRINCE\CAT\DOMESTIC\BLACK\NEUTERED\SMALL\02/13/2015\K18-029595\CA02\A368110\08/23/2018\43170\72\OWNER_SURRENDER\OVER_THE_COUNTER\TRANSFER\MARIN_HS\TREATABLE/MANAGEABLE\TREATABLE/MANAGEABLE\*HEALDSBURG\OUT_OF_COUNTY\94949\94949\1
77,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN
78,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.ANTHONY:ANTHONY\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\41645\K15-015569\CA02\A326253\08/22/2015\08/22/2015\0\STRAY\COMM_CAT\RETURN_TO_OWNER\OVER_THE_COUNTER_MCHIP\HEALTHY\HEALTHY\SANTA_ROSA\SANTA_ROSA\95403\95403\1
79,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.BOOTS:BOOTS\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\40277\K19-031544\CA02\A256361\02/27/2019\43649\8\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\COUNTY\SANTA_ROSA\95409\95409\1
80,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.BUSTER:BUSTER\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\07/17/2013\K15-012465\CS04\A315888\01/17/2015\01/31/2015\14\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\SANTA_ROSA\95407\95407\1
81,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.DEXTER:DEXTER\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\41855\K14-008464\LOBBY\A305363\04/15/2014\06/14/2014\60\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\COUNTY\COUNTY\95403\95403\1
82,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.EDDIE:EDDIE\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\40756\K14-007242\SMM\A301169\41699\41913\7\STRAY\OVER_THE_COUNTER\ADOPTION\INTERNET\TREATABLE/MANAGEABLE\TREATABLE/MANAGEABLE\SANTA_ROSA\COUNTY\95436\95436\1
83,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.LITTLE_TIGER:LITTLE_TIGER\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\41030\K16-017336\CS04\A331555\42491\42492\31\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\*HEALDSBURG\95448\95448\1
84,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.MAX:MAX\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\03/25/2015\K16-018214\CA02\A334892\03/25/2016\42404\8\STRAY\OVER_THE_COUNTER\RETURN_TO_OWNER\OVER_THE_COUNTER_WEB\HEALTHY\HEALTHY\SANTA_ROSA\SANTA_ROSA\95403\95403\1
85,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.MICHAEL:MICHAEL\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\43346\K18-028416\LOBBY\A372955\05/26/2018\06/28/2018\33\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\SCAS_WEB\HEALTHY\HEALTHY\COUNTY\WINDSOR\95492\95492\1
86,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.MORGAN:MORGAN\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\42983\K17-025009\CA02\A357621\08/24/2017\09/27/2017\34\STRAY\FIELD\ADOPTION\WALKIN\TREATABLE/REHAB\HEALTHY\COUNTY\SANTA_ROSA\95404\95404\1
87,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.MR_MOW:MR_MOW\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\11/15/2008\K17-026289\CH\A364053\11/15/2017\11/22/2017\7\STRAY\OVER_THE_COUNTER\RETURN_TO_OWNER\OVER_THE_COUNTER_PRVS\UNKNOWN\HEALTHY\SANTA_ROSA\COUNTY\95404\95404\1
88,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.QUILL:QUILL\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\41830\K19-033488\VET\A390975\08/27/2019\08/28/2019\1\STRAY\FIELD\TRANSFER\PETCARE\UNKNOWN\UNTREATABLE\SANTA_ROSA\SANTA_ROSA\95403\95403\1
89,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.STRIPEY:STRIPEY\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\04/24/2013\K15-013682\WESTFARM\A321056\04/24/2015\42190\13\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WESTFARM\HEALTHY\HEALTHY\SANTA_ROSA\SANTA_ROSA\95409\95409\1
90,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.THUNDER:THUNDER\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\03/15/2018\K18-030908\CS05\A381927\12/14/2018\12/15/2018\1\STRAY\OVER_THE_COUNTER\RETURN_TO_OWNER\FLD_MCHIP\HEALTHY\HEALTHY\COUNTY\WINDSOR\95492\95492\1
91,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.BROWN.TIGER:TIGER\CAT\DOMESTIC\BROWN\NEUTERED\SMALL\40368\K18-027548\CA02\A267941\03/14/2018\03/31/2018\17\OWNER_SURRENDER\OVER_THE_COUNTER\ADOPTION\WALKIN\HEALTHY\HEALTHY\SANTA_ROSA\SANTA_ROSA\95409\95409\1
92,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.GRAY
93,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.GRAY.GUS:GUS\CAT\DOMESTIC\GRAY\NEUTERED\SMALL\03/22/2011\K17-022850\CI01\A349743\03/18/2017\03/22/2017\4\STRAY\FIELD\RETURN_TO_OWNER\OVER_THE_COUNTER_MCHIP\TREATABLE/REHAB\TREATABLE/REHAB\SANTA_ROSA\SANTA_ROSA\95409\95409\1
94,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.GRAY.JASPER:JASPER\CAT\DOMESTIC\GRAY\NEUTERED\SMALL\08/13/2005\K17-022648\WESTFARM\A347875\02/28/2017\03/22/2017\22\ADOPTION_RETURN\OVER_THE_COUNTER\ADOPTION\WESTFARM\HEALTHY\HEALTHY\SANTA_ROSA\COUNTY\95472\95472\1
95,ANIMAL.CAT.NEUTERED.DOMESTIC.SMALL.GRAY.JENSANTI:JENSANTI\CAT\DOMESTIC\GRAY\NEUTERED\SMALL\41854\K14-010012\LOBBY\A308851\07/28/2014\08/15/2014\18\ADOPTION_RETURN\FIELD\ADOPTION\WALKIN\TREATABLE/REHAB\HEALTHY\SANTA_ROSA\OUT_OF_COUNTY\94515\94515\1
